ID,Included (Yes/No),Author,year,Ref,Body Comp Method,intervention,int_pre_m,int_pre_sd,con_pre_m,con_pre_sd,int_post_m,int_post_sd,con_post_m,con_post_sd,INT_delta_M,INT_delta_SD,INT_N,con_delta_M,con_delta_SD,con_N
104,YES,Sharp,2018,"Sharp, M. H., et al., 2018,The effects of beef, chicken, or whey protein after workout on body composition and muscle performance",DXA,Chx,52.97,12.12,53.14,11.35,54.89,13.43,54.96,10.74,1.92,8.174640053,11,1.82,7.00940083,10
105,YES,Snijders,2015,"Snijders, T., et al., 2015,Protein ingestion before sleep increases muscle mass and strength gains during prolonged resistance-type exercise training in healthy young men",DXA,PRO,62.9,1.3,63.6,1.6,64.8,1.4,65.3,1.7,1.9,0.859069264,20,1.7,1.047854952,19
106,YES,Spillane,2016,"Spillane, M. and Willoughby, D. S., 2016,Daily overfeeding from protein and/or carbohydrate supplementation for eight weeks in conjunction with resistance training does not improve body composition and muscle strength or increase markers indicative of muscle protein synthesis and myogenesis in resistance-trained males",DXA,HPC,63.01,6.19,61.82,4.28,65.29,5.82,62.07,5.33,2.28,3.814081803,11,0.25,3.198040025,10
108,YES,Taylor,2016,"Taylor, L. W., et al., 2016,Eight weeks of pre- and postexercise whey protein supplementation increases lean body mass and improves performance in division iii collegiate female basketball players",DXA,WP,43.2,2,42.7,1.3,44.7,1.3,43.1,1.3,1.51,0.7,8,0.37,0.42,6
111,YES,van Dongen,2020,"van Dongen, E. J. I., et al., 2020,Effectiveness of a diet and resistance exercise intervention on muscle health in older adults: Promuscle in practice",DXA,Intervention,47.5,9.56,47.8,9.33,48.2,9.38,47.9,9.1,0.7,5.991787713,86,0.1,5.832160835,82
112,YES,Vangsoe,2018,"Vangsoe, M. T., et al., 2018,Effects of insect protein supplementation during resistance training on changes in muscle mass and strength in young men",DXA,Pro,,,,,,,,,2.7,1.43,9,2.5,1.24,9
113,YES,Verdijk,2009,"Verdijk, L. B., et al., 2009,Protein supplementation before and after exercise does not further augment skeletal muscle hypertrophy after resistance training in elderly men",DXA,Protein,56.1,1.4,57.4,1.6,56.8,1.4,58,1.7,0.7,0.885437745,13,0.6,1.047854952,13
114,YES,Vieillevoye,2010,"Vieillevoye, S., et al., 2010,Effects of a combined essential amino acids/carbohydrate supplementation on muscle mass, architecture and maximal strength following heavy-load training",Skin fold,EAA,33,3.1,34.9,3.6,34.1,3.2,35.7,3.5,1.1,1.994492417,15,0.8,2.247220505,14
115,YES,Volek,2013,"Volek, J. S., et al., 2013,Whey protein supplementation during resistance training augments lean body mass",DXA,Whey,,,,,,,,,3.3,1.5,19,2.3,1.7,22
115,YES,Volek,2013,"Volek, J. S., et al., 2013,Whey protein supplementation during resistance training augments lean body mass",DXA,Soy,,,,,,,,,1.8,1.6,22,2.3,1.7,22
118,YES,Walker,2010,"Walker, T. B., et al., 2010,The influence of 8 weeks of whey-protein and leucine supplementation on physical and cognitive performance",DXA,WPL,60.4,7.9,63.3,6.3,61,8.2,63.3,6.1,0.7,1.3,18,0,0.9,12
119,YES,Watanabe,2018,"Watanabe, K., et al., 2018,Effect of resistance training and fish protein intake on motor unit firing pattern and motor function of elderly",BIA,APP-CN,21.5,4.2,23.5,4.7,21.6,4.3,23.4,4.5,0.1,2.689609637,13,-0.1,2.915475947,12
119,YES,Watanabe,2018,"Watanabe, K., et al., 2018,Effect of resistance training and fish protein intake on motor unit firing pattern and motor function of elderly",BIA,APP-RT,23.5,5.2,23.3,4.4,23.7,5.3,23.6,4.6,0.2,3.321746529,12,0.3,2.852367438,13
119,YES,Watanabe,2018,"Watanabe, K., et al., 2018,Effect of resistance training and fish protein intake on motor unit firing pattern and motor function of elderly",Ultrasonography,APP-CN,3.52,0.63,3.94,0.99,3.56,0.69,3.93,0.89,0.04,0.421283752,13,-0.01,0.6020299,12
119,YES,Watanabe,2018,"Watanabe, K., et al., 2018,Effect of resistance training and fish protein intake on motor unit firing pattern and motor function of elderly",Ultrasonography,APP-RT,3.84,0.79,3.94,0.52,3.81,0.84,3.91,0.49,-0.03,0.517629211,12,-0.03,0.320655578,13
120,YES,Weisgarber,2012,"Weisgarber, K. D., et al., 2012,Whey protein before and during resistance exercise has no effect on muscle mass and strength in untrained young adults",DXA,PRO,48.8,9.1,43.8,9.4,48.4,9.1,43.2,9.4,-0.4,5.755345342,9,-0.6,5.945082001,8
120,YES,Weisgarber,2012,"Weisgarber, K. D., et al., 2012,Whey protein before and during resistance exercise has no effect on muscle mass and strength in untrained young adults",Ultrasonography,PRO,,,,,,,,,0.6,0.4,9,0.1,0.5,8
123,YES,Willoughby,2007,"Willoughby, D. S., et al., 2007,Effects of resistance training and protein plus amino acid supplementation on muscle anabolism, mass, and strength",Hydrostatic weighing,PRO,,,,,,,,,5.62,0.98,10,2.7,1.31,9
124,YES,Zhu,2015,"Zhu, K., et al., 2015,Two-year whey protein supplementation did not enhance muscle mass and physical function in well-nourished healthy older postmenopausal women",DXA,Protein,12.4,1.9,12.7,1.9,,,,,-0.03,0.58,93,0,0.56,88
125,YES,Obradovic,2020,"Obradovic, J., et al., 2020, The effects of leucine and whey protein supplementation with eight weeks of resistance training on strength and body composition",BIA,WP,67.79,4.6,71.24,4.45,68.43,5.77,71.57,4.53,0.64,3.462036973,10,0.33,2.84073934,10
125,YES,Obradovic,2020,"Obradovic, J., et al., 2020, The effects of leucine and whey protein supplementation with eight weeks of resistance training on strength and body composition",BIA,Leu,71.06,4.92,71.24,4.45,72.48,5.77,71.57,4.53,1.42,3.475321568,10,0.33,2.84073934,10
126,YES,Norton,2016,"Norton, C. et al., 2016, Protein Supplementation at Breakfast and Lunch for 24 Weeks beyond Habitual Intakes Increases Whole-Body Lean Tissue Mass in Healthy Older Adults",DXA,Pro,,,,,,,,,0.45,1.04,31,-0.16,0.86,29
